ProcessedStartDate,startvalue,ProcessedEndDate,endValue,hourdifference
"12/19/2018, 3:00:02 PM",6846108.60,"12/19/2018, 4:00:02 PM",6846129.60,20.9
"12/19/2018, 4:00:03 PM",6846129.60,"12/19/2018, 5:00:03 PM",6846154.70,25.1
"12/19/2018, 6:00:02 PM",6846179.30,"12/19/2018, 7:00:02 PM",6846203.30,24
"12/19/2018, 7:00:02 PM",6846203.90,"12/19/2018, 8:00:02 PM",6846227.90,24
"12/19/2018, 8:00:02 PM",6846228.40,"12/19/2018, 9:00:02 PM",6846252.50,24
"12/19/2018, 9:00:02 PM",6846253.00,"12/19/2018, 10:00:02 PM",6846277.10,24
"12/19/2018, 10:00:02 PM",6846277.60,"12/19/2018, 11:00:02 PM",6846335.40,57.8
"12/19/2018, 11:00:02 PM",6846337.50,"12/20/2018, 12:00:02 AM",6846474.20,136.7
"12/20/2018, 12:00:02 AM",6846476.20,"12/20/2018, 1:00:02 AM",6846612.40,136.1
"12/20/2018, 1:00:02 AM",6846614.50,"12/20/2018, 2:00:02 AM",6846739.40,124.9
"12/20/2018, 2:00:03 AM",6846741.50,"12/20/2018, 3:00:03 AM",6846878.70,137.2
"12/20/2018, 3:00:02 AM",6846880.80,"12/20/2018, 4:00:02 AM",6847007.20,126.5
"12/20/2018, 4:00:02 AM",6847009.30,"12/20/2018, 5:00:02 AM",6847127.00,117.8
"12/20/2018, 5:00:02 AM",6847128.00,"12/20/2018, 6:00:02 AM",6847182.00,54.3
"12/20/2018, 6:00:02 AM",6847182.90,"12/20/2018, 7:00:02 AM",6847298.60,115.7
"12/20/2018, 7:00:02 AM",6847300.60,"12/20/2018, 8:00:02 AM",6847426.50,126
"12/20/2018, 8:00:02 AM",6847428.60,"12/20/2018, 9:00:02 AM",6847535.10,106.5
"12/20/2018, 9:00:03 AM",6847537.70,"12/20/2018, 10:00:03 AM",6847768.00,230.4
"12/20/2018, 10:00:02 AM",6847771.10,"12/20/2018, 11:00:02 AM",6847994.40,223.2
"12/20/2018, 12:00:02 PM",6848235.50,"12/20/2018, 1:00:02 PM",6848477.70,242.2
"12/20/2018, 1:00:02 PM",6848481.30,"12/20/2018, 2:00:02 PM",6848725.50,244.2
"12/20/2018, 2:00:02 PM",6848729.10,"12/20/2018, 3:00:02 PM",6848988.70,259.6
"12/20/2018, 3:00:02 PM",6848992.30,"12/20/2018, 4:00:02 PM",6849273.30,281
"12/20/2018, 4:00:02 PM",6849277.40,"12/20/2018, 5:00:02 PM",6849563.10,285.7
"12/20/2018, 5:00:02 PM",6849567.70,"12/20/2018, 6:00:02 PM",6849848.30,280.6
"12/20/2018, 6:00:02 PM",6849851.90,"12/20/2018, 7:00:02 PM",6850118.10,266.2
"12/20/2018, 7:00:03 PM",6850122.20,"12/20/2018, 8:00:03 PM",6850329.60,207.4
"12/20/2018, 8:00:02 PM",6850331.60,"12/20/2018, 9:00:02 PM",6850483.20,151.6
"12/20/2018, 9:00:02 PM",6850483.20,"12/20/2018, 10:00:02 PM",6850639.40,156.2
"12/20/2018, 10:00:03 PM",NULL,"12/20/2018, 11:00:03 PM",NULL,NULL
"12/20/2018, 11:00:02 PM",6850672.60,"12/21/2018, 12:00:02 AM",6850762.20,89.6
"12/21/2018, 12:00:02 AM",6850764.30,"12/21/2018, 1:00:02 AM",6850868.70,104.4
"12/21/2018, 1:00:02 AM",6850870.30,"12/21/2018, 2:00:02 AM",6850949.60,79.3
"12/21/2018, 2:00:02 AM",6850950.70,"12/21/2018, 3:00:02 AM",6851019.30,68.6
"12/21/2018, 3:00:02 AM",6851020.30,"12/21/2018, 4:00:02 AM",6851088.90,68.6
"12/21/2018, 4:00:02 AM",6851089.90,"12/21/2018, 5:00:02 AM",6851172.90,83
"12/21/2018, 5:00:02 AM",6851173.90,"12/21/2018, 6:00:02 AM",6851244.00,70.1
"12/21/2018, 6:00:02 AM",6851245.10,"12/21/2018, 7:00:02 AM",6851277.30,32.2
"12/21/2018, 7:00:03 AM",6851277.30,"12/21/2018, 8:00:03 AM",6851277.30,0
"12/21/2018, 8:00:02 AM",6851277.30,"12/21/2018, 9:00:02 AM",6851371.50,94.2
"12/21/2018, 9:00:02 AM",6851374.60,"12/21/2018, 10:00:02 AM",6851549.70,175.1
"12/21/2018, 10:00:02 AM",6851549.70,"12/21/2018, 11:00:02 AM",6851650.00,100.3
"12/21/2018, 11:00:02 AM",6851653.60,"12/21/2018, 12:00:02 PM",6851938.80,285.2
"12/21/2018, 12:00:02 PM",6851942.90,"12/21/2018, 1:00:02 PM",6852333.60,390.7
"12/21/2018, 1:00:02 PM",6852338.70,"12/21/2018, 2:00:02 PM",6852710.40,371.7
"12/21/2018, 2:00:02 PM",6852715.00,"12/21/2018, 3:00:02 PM",6853089.30,374.3
"12/21/2018, 3:00:02 PM",6853095.40,"12/21/2018, 4:00:02 PM",6853471.70,376.3
"12/21/2018, 4:00:03 PM",6853477.90,"12/21/2018, 5:00:03 PM",6853848.60,370.7
"12/21/2018, 5:00:03 PM",6853852.70,"12/21/2018, 6:00:03 PM",6854177.80,325.1
"12/21/2018, 6:00:02 PM",6854182.40,"12/21/2018, 7:00:02 PM",6854396.90,214.5
"12/21/2018, 8:00:02 PM",NULL,"12/21/2018, 9:00:02 PM",NULL,NULL
