DATE,TAVG
2018-12-19,69
2018-12-20,71
2018-12-21,74
2018-12-22,74
2018-12-23,76
2018-12-24,74
2018-12-25,78
2018-12-26,78
2018-12-27,75
2018-12-28,67
2018-12-29,69
2018-12-30,69
2018-12-31,68
2019-01-01,69
2019-01-02,71
2019-01-03,73
2019-01-04,71
2019-01-05,74
2019-01-06,74
2019-01-07,74
2019-01-08,71
2019-01-09,71
2019-01-10,72
2019-01-11,74
2019-01-12,75
2019-01-13,76
2019-01-14,75
2019-01-15,75
2019-01-16,74
2019-01-17,75
2019-01-18,75
2019-01-19,74
2019-01-20,74
2019-01-21,76
2019-01-22,77
2019-01-23,77
2019-01-24,77
2019-01-25,81
2019-01-26,75
2019-01-27,67
2019-01-28,67
2019-01-29,69
2019-01-30,69
2019-01-31,73
2019-02-01,76
2019-02-02,75
2019-02-03,76
2019-02-04,76
2019-02-05,77
2019-02-06,79
2019-02-07,83
2019-02-08,77
2019-02-09,74
2019-02-10,77
2019-02-11,79
2019-02-12,78
2019-02-13,79
2019-02-14,81
2019-02-15,85
2019-02-16,81
2019-02-17,83
2019-02-18,82
2019-02-19,85
2019-02-20,83
2019-02-21,85
2019-02-22,87
2019-02-23,88
2019-02-24,89
2019-02-25,89
2019-02-26,85
2019-02-27,81
2019-02-28,83
2019-03-01,81
2019-03-02,83
2019-03-03,86
2019-03-04,88
2019-03-05,86
2019-03-06,84
2019-03-07,84
2019-03-08,86
2019-03-09,87
2019-03-10,89
2019-03-11,90
2019-03-12,90
2019-03-13,91
2019-03-14,91
2019-03-15,90
2019-03-16,89
2019-03-17,87
2019-03-18,85
2019-03-19,89
2019-03-20,88
2019-03-21,88
2019-03-22,89
2019-03-23,91
2019-03-24,92
2019-03-25,90
2019-03-26,91
2019-03-27,92
2019-03-28,92
2019-03-29,91
2019-03-30,93
2019-03-31,94
2019-04-01,94
2019-04-02,94
2019-04-03,89
2019-04-04,89
2019-04-05,88
2019-04-06,84
2019-04-07,90
2019-04-08,89
2019-04-09,87
2019-04-10,90
2019-04-11,93
2019-04-12,90
2019-04-13,93
2019-04-14,94
2019-04-15,94
2019-04-16,92
2019-04-17,93
2019-04-18,91
2019-04-19,87
2019-04-20,88
2019-04-21,92
2019-04-22,86
2019-04-23,89
2019-04-24,93
2019-04-25,95
2019-04-26,97
2019-04-27,98
2019-04-28,96
2019-04-29,97
2019-04-30,96
2019-05-01,94
2019-05-02,98
2019-05-03,95
2019-05-04,94
2019-05-05,95
2019-05-06,96
2019-05-07,98
2019-05-08,96
2019-05-09,95
2019-05-10,97
2019-05-11,93
2019-05-12,91
2019-05-13,96
2019-05-14,96
2019-05-15,94
2019-05-16,96
2019-05-17,96
2019-05-18,97
2019-05-19,98
2019-05-20,99
2019-05-21,95
